POSITION,PLAYER,TEAM,TOI,GP,TOI/GP,GOALS/60,TOTAL ASSISTS/60,FIRST ASSISTS/60,SECOND ASSISTS/60,TOTAL POINTS/60,IPP,SHOTS/60,SH%,IXG/60,ICF/60,IFF/60,ISCF/60,IHDCF/60,RUSH ATTEMPTS/60,REBOUNDS CREATED/60,PIM/60,TOTAL PENALTIES/60,MINOR/60,MAJOR/60,MISCONDUCT/60,PENALTIES DRAWN/60,GIVEAWAYS/60,TAKEAWAYS/60,HITS/60,HITS TAKEN/60,SHOTS BLOCKED/60,FACEOFFS WON/60,FACEOFFS LOST/60,FACEOFFS %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,XGF/60,XGA/60,XGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,ON-ICE SH%,ON-ICE SV%,PDO,OFF. ZONE STARTS/60,NEU. ZONE STARTS/60,DEF. ZONE STARTS/60,ON THE FLY STARTS/60,OFF. ZONE START %,OFF. ZONE FACEOFFS/60,NEU. ZONE FACEOFFS/60,DEF. ZONE FACEOFFS/60,OFF. ZONE FACEOFF %,AGE,DATE OF BIRTH,BIRTH CITY,BIRTH STATE/PROVINCE,BIRTH COUNTRY,NATIONALITY,HEIGHT (IN),WEIGHT (LBS),DRAFT YEAR,DRAFT TEAM,DRAFT ROUND,ROUND PICK,OVERALL DRAFT POSITION,COUNTRY,HANDED,DRAFTED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,SEASON,SALARY CAP,SALARY CAP PERCENTAGE,DECEASED,PRED_SALARY_PERCENTAGE,PRED_AAV,DIFF
c,patrick o'sullivan,-,1279.0166666667,73,17.520776255708,0.52,1.08,0.8,0.28,1.59,60.71,8.96,0.0576,0.73,16.65,12.62,7.37,2.39,0.52,0.84,1.5,0.75,0.75,0.0,0.0,0.8,2.11,1.36,1.5,3.05,2.44,3.33,5.82,0.0171,55.36,60.75,0.4768,42.13,45.74,0.4794,29.93,33.12,0.4747,2.63,3.89,0.4029,2.75,2.99,0.4789,25.8,26.93,0.4893,9.8,11.31,0.4644,1.36,1.92,0.4143,21.33,20.83,0.5059,1.06,1.19,0.4722,37.2,41.2,0.4745,0.54,1.49,0.2667,0.0877999999999999,0.8824,0.97,10.13,10.55,9.24,44.24,0.523,18.72,16.7,15.57,0.5458,24,1985-02-01,Toronto,ON,CAN,USA,71,189,2003.0,MIN,2.0,26.0,56.0,United States,Left,56 - Round 2 - 2003 (MIN),LAK,Standard (1-way),23,,3,RFA,2011,2925000,"$2,925,000.00",2387500,2387500,0,0,2009-10,56800000,0.0514964788732394,0,0.045549538,"$2,587,213.00","$-337,787.00"
c,patrik berglund,-,958.65,71,13.502112676056,0.81,0.81,0.38,0.44,1.63,55.32,8.07,0.1008,0.83,14.33,11.27,8.07,3.19,0.5,0.69,1.0,0.44,0.44,0.0,0.0,0.56,1.25,1.63,4.38,3.13,0.69,13.77,17.77,0.0273,64.09,41.81,0.6052000000000001,47.57,32.42,0.5947,34.05,22.84,0.5985,2.94,2.07,0.5875,3.1,2.01,0.607,30.23,20.59,0.5948,11.83,8.32,0.5870000000000001,1.56,0.94,0.625,24.53,16.36,0.6,1.25,1.0,0.5556,42.31,26.22,0.6174000000000001,0.63,0.54,0.5385,0.0864,0.9096,0.996,13.33,10.95,5.45,53.01,0.71,22.22,16.15,10.7,0.6748999999999999,21,1988-06-02,Västerås,SWE,SWE,,76,215,2006.0,STL,1.0,25.0,,Sweden,Left,25 - Round 1 - 2006 (STL),STL,Entry-Level,19,,3,RFA,2011,821667,"$1,246,667.00",850000,765000,85000,425000,2009-10,56800000,0.0144659683098591,0,0.024731465,"$1,404,747.00","$158,080.00"
c,paul gaustad,-,1023.4333333333,65,15.745128205128,0.7,0.59,0.47,0.12,1.29,57.89,6.51,0.1081,0.62,10.67,8.32,5.86,3.46,0.35,0.7,4.69,1.76,1.47,0.23,0.06,1.52,0.59,1.0,6.57,4.51,1.99,35.12,26.03,0.0337,53.99,51.65,0.5111,40.16,40.1,0.5004,29.72,28.55,0.5101,2.23,2.52,0.4690999999999999,2.44,2.53,0.4905,22.45,21.63,0.5093,10.03,9.97,0.5015,1.35,1.47,0.4792,16.57,15.56,0.5158,0.55,0.47,0.5385,39.12,37.94,0.5077,0.59,0.93,0.3889,0.075,0.9117,0.987,12.96,14.95,19.35,35.35,0.4011,19.7,19.11,27.26,0.4195,27,1982-02-03,Fargo,ND,USA,USA,77,227,2000.0,BUF,7.0,23.0,220.0,United States,Left,220 - Round 7 - 2000 (BUF),BUF,Standard (1-way),26,,4,UFA,2012,2300000,"$2,300,000.00",2500000,2500000,0,0,2009-10,56800000,0.0404929577464788,0,0.04754679,"$2,700,657.00","$400,657.00"
c,paul stastny,-,1732.9666666667,81,21.394650205761,0.69,2.04,1.35,0.69,2.74,71.17,6.89,0.1005,0.84,11.04,8.97,8.03,4.57,0.42,1.18,1.73,0.8,0.8,0.0,0.0,0.9,1.21,2.04,1.45,2.35,1.84,29.46,29.5,0.0173,57.99,54.25,0.5167,43.69,41.03,0.5157,33.1,29.95,0.525,3.84,3.01,0.5606,3.37,2.79,0.5471,29.57,24.65,0.5453,14.47,10.42,0.5814,2.22,1.7,0.5664,20.13,18.97,0.5147999999999999,1.34,1.06,0.5577000000000001,34.66,36.51,0.487,0.9,0.7,0.5625,0.1161,0.8994,1.016,12.81,13.26,12.22,37.5,0.5118,22.95,19.67,21.05,0.5216,23,1985-12-27,Quebec City,QC,CAN,USA,72,193,2005.0,COL,2.0,14.0,44.0,Canada,Left,44 - Round 2 - 2005 (COL),COL,Standard (1-way),22,,5,UFA,2014,6600000,"$6,600,000.00",6600000,6600000,0,0,2009-10,56800000,0.1161971830985915,0,0.10008976,"$5,685,098.00","$-914,902.00"
c,pavel datsyuk,-,1627.8333333333,80,20.347916666667,1.0,1.58,0.96,0.63,2.58,72.92,7.48,0.133,0.7,13.6,10.1,8.11,2.8,0.59,0.52,0.66,0.33,0.33,0.0,0.0,1.36,2.69,4.87,3.28,4.17,1.22,21.75,17.69,0.0203,69.59,40.4,0.6327,52.71,32.21,0.6207,37.37,23.41,0.6149,3.54,1.84,0.6575,3.41,1.81,0.6536,34.02,16.96,0.6674,13.34,7.15,0.6511,1.99,0.88,0.6923,27.57,13.07,0.6784,1.18,0.59,0.6667000000000001,45.52,28.7,0.6133,0.85,0.64,0.5714,0.0947,0.9213,1.016,15.22,13.71,9.69,36.97,0.6109,23.74,17.62,15.33,0.6075,30,1978-07-20,Sverdlovsk,RUS,RUS,,71,188,1998.0,DET,6.0,26.0,,Russia,Left,171 - Round 6 - 1998 (DET),DET,Standard (1-way),28,NMC,7,UFA,2014,6700000,"$6,700,000.00",6700000,6700000,0,0,2009-10,56800000,0.1179577464788732,0,0.10852227,"$6,164,065.00","$-535,935.00"
c,peter mueller,-,965.23333333333,69,13.988888888889,0.81,1.49,0.87,0.62,2.3,71.15,7.71,0.1048,0.61,14.23,10.44,5.78,1.99,0.68,0.75,0.99,0.5,0.5,0.0,0.0,0.25,1.62,1.74,2.42,2.05,0.75,1.12,1.62,0.0254,62.6,47.37,0.5692,47.74,37.17,0.5622,34.25,26.11,0.5675,3.23,2.24,0.5909,2.93,2.18,0.5728,27.66,21.13,0.5669,11.44,8.58,0.5714,1.86,1.31,0.5882000000000001,21.63,16.74,0.5637,0.75,0.99,0.4286,43.91,31.7,0.5808,1.17,0.27,0.8125,0.0944,0.9143,1.009,16.16,13.36,5.04,44.26,0.7625,25.98,18.71,10.38,0.7145,21,1988-04-14,Bloomington,MN,USA,USA,74,204,2006.0,PHX,1.0,8.0,8.0,United States,Right,8 - Round 1 - 2006 (ARI),ARI,Entry-Level,19,,3,RFA,2010,850000,"$1,700,000.00",850000,850000,0,850000,2009-10,56800000,0.0149647887323943,0,0.026022295,"$1,478,066.00","$-221,934.00"
c,petteri nokelainen,-,823.28333333333,67,12.287810945274,0.36,0.58,0.44,0.15,0.95,61.9,6.41,0.0567999999999999,0.58,9.77,7.73,5.9,2.84,0.36,0.58,1.97,0.87,0.8,0.07,0.0,0.73,1.24,1.09,5.83,6.49,2.41,14.58,17.78,0.0327999999999999,40.23,63.84,0.3865999999999999,31.78,48.9,0.3939,23.39,34.33,0.4053,1.53,3.13,0.3281,1.84,3.34,0.3549,18.0,31.27,0.3654,7.51,13.41,0.3589,0.95,1.6,0.3714,13.99,23.81,0.3702,0.29,1.17,0.2,27.69,42.74,0.3931,0.42,0.95,0.3077,0.0654,0.9087,0.974,10.28,12.24,13.41,47.01,0.4338,14.28,17.13,20.99,0.405,23,1986-01-16,Imatra,FIN,FIN,,73,201,2004.0,NYI,1.0,16.0,,Finland,Right,16 - Round 1 - 2004 (NYI),BOS,Standard (1-way),22,,2,RFA,2010,850000,"$850,000.00",900000,900000,0,0,2009-10,56800000,0.0149647887323943,0,0.018290028,"$1,038,873.00","$188,873.00"
c,r.j. umberger,-,1571.8166666667,82,19.168495934959,0.88,1.22,0.76,0.46,2.1,68.75,8.44,0.1041,1.06,12.6,10.88,8.02,5.08,0.5,0.84,1.53,0.65,0.57,0.08,0.0,1.15,0.69,1.37,4.08,4.24,2.29,14.2,12.67,0.0202,53.98,55.39,0.4935,41.15,42.79,0.4902,30.77,31.07,0.4975,3.05,3.09,0.4968999999999999,2.96,2.8,0.5139,25.0,26.0,0.4903,11.18,11.15,0.5009,1.68,1.53,0.5238,18.42,19.8,0.482,0.87,1.27,0.4048,35.73,36.12,0.4972999999999999,1.05,0.72,0.5938,0.0993,0.9005,1.0,13.17,13.13,11.41,44.43,0.5357,21.03,17.52,19.05,0.5247999999999999,27,1982-05-03,Pittsburgh,PA,USA,USA,74,214,2001.0,VAN,1.0,16.0,16.0,United States,Left,16 - Round 1 - 2001 (VAN),CBJ,Standard (1-way),26,,4,UFA,2012,3750000,"$3,750,000.00",3500000,3500000,0,0,2009-10,56800000,0.0660211267605633,0,0.05477536,"$3,111,240.00","$-638,760.00"
c,rich peverley,-,1530.0333333333,82,18.658943089431,0.86,1.29,0.78,0.51,2.16,69.62,6.51,0.1325,0.69,10.39,8.51,6.9,2.78,0.31,0.47,1.41,0.71,0.71,0.0,0.0,0.86,2.16,2.43,0.9,2.78,1.33,25.37,21.41,0.0213,59.18,52.78,0.5285,45.37,41.84,0.5202,33.88,32.2,0.5128,3.1,3.45,0.4731,3.07,3.02,0.5043,27.1,26.47,0.5059,11.45,12.16,0.485,1.73,1.84,0.4835,20.86,19.08,0.5223,0.84,0.94,0.4706,40.61,33.14,0.5507,1.08,1.08,0.5,0.0914,0.8928,0.984,10.86,11.37,12.08,33.41,0.4735,18.78,17.33,19.92,0.4853,26,1982-07-08,Kingston,ON,CAN,CAN,71,195,0.0,-,,,,Canada,Right,-,NSH,Standard (1-way),26,,2,UFA,2010,487500,"$487,500.00",500000,500000,0,0,2009-10,56800000,0.0085827464788732,0,0.071407355,"$4,055,937.00","$3,568,437.00"
c,rob niedermayer,-,1193.7833333333,71,16.813849765258,0.5,0.6,0.5,0.1,1.11,55.0,4.67,0.1075,0.48,7.09,6.03,4.93,2.41,0.3,0.15,2.26,1.06,1.01,0.05,0.0,0.45,0.95,1.11,4.17,4.67,1.21,24.02,23.47,0.0254,38.65,54.03,0.417,29.8,40.96,0.4211999999999999,21.66,29.7,0.4217,2.01,2.21,0.4761999999999999,1.81,2.48,0.4218,18.35,24.73,0.4259,6.79,9.55,0.4154,1.06,0.85,0.5526,15.41,20.24,0.4322999999999999,0.6,0.87,0.4090999999999999,24.76,37.46,0.3979,0.58,1.02,0.3636,0.0928,0.9255,1.018,8.7,13.67,10.45,51.57,0.4540999999999999,13.47,19.85,18.35,0.4234,34,1974-12-28,Cassiar,BC,CAN,CAN,74,203,1993.0,FLA,1.0,5.0,5.0,Canada,Left,5 - Round 1 - 1993 (FLA),NJD,Standard (1-way),34,,1,UFA,2010,1000000,"$1,000,000.00",1000000,1000000,0,0,2009-10,56800000,0.0176056338028169,0,0.018709805,"$1,062,716.00","$62,716.00"
c,robert lang,-,964.43333333333,64,15.069270833333,0.56,1.24,0.81,0.44,1.8,55.77,5.23,0.1071,0.64,10.2,7.96,6.78,3.17,0.19,0.56,1.74,0.87,0.87,0.0,0.0,0.5,1.49,0.56,1.87,1.99,1.31,23.33,22.33,0.0318,64.83,41.93,0.6072,49.4,32.6,0.6024,34.65,23.02,0.6009,3.24,2.18,0.5977,3.09,1.99,0.6083,29.55,17.98,0.6217,13.25,8.03,0.6228,1.93,1.31,0.5962,21.73,13.27,0.6209,0.83,0.66,0.5556,44.57,28.22,0.6123,0.99,0.54,0.6470999999999999,0.0934,0.9054,0.999,15.93,10.27,5.04,44.23,0.7595999999999999,25.88,15.18,10.14,0.7184999999999999,38,1970-12-19,Teplice,CZE,CZE,,75,217,1990.0,L.A,7.0,7.0,,Czech Republic,Right,133 - Round 7 - 1990 (LAK),ARI,35+ (1-way),38,,1,UFA,2010,1000000,"$1,700,000.00",1000000,1000000,0,700000,2009-10,56800000,0.0176056338028169,0,0.026312726,"$1,494,562.00","$-205,438.00"
c,robert nilsson,-,884.85,60,14.7475,0.75,1.08,0.95,0.14,1.83,71.05,7.05,0.1058,0.64,12.41,8.95,6.51,2.17,0.14,0.95,0.81,0.41,0.41,0.0,0.0,0.75,2.58,2.17,2.03,4.27,2.31,0.07,0.14,0.0226,61.03,52.01,0.5399,47.13,39.46,0.5442,33.7,27.39,0.5516,2.58,2.98,0.4634,3.29,2.5,0.5688,28.28,23.67,0.5444,11.8,8.95,0.5686,1.7,1.49,0.5318999999999999,21.97,19.62,0.5283,0.45,1.63,0.2173999999999999,41.63,35.55,0.5393,0.59,0.39,0.6,0.0765,0.8911,0.968,11.8,12.75,8.48,41.63,0.5819,20.68,18.31,15.05,0.5787,24,1985-01-10,Calgary,AB,CAN,SWE,71,185,2003.0,NYI,1.0,15.0,15.0,Canada,Left,15 - Round 1 - 2003 (NYI),EDM,Standard (1-way),23,,3,RFA,2011,2000000,"$2,000,000.00",2000000,2000000,0,0,2009-10,56800000,0.0352112676056338,0,0.039120555,"$2,222,047.00","$222,047.00"
c,rod brind'amour,-,1017.1666666667,80,12.714583333333,0.53,0.59,0.29,0.29,1.12,59.38,5.6,0.0947,0.65,9.67,7.79,6.08,2.77,0.29,0.41,2.12,1.06,1.06,0.0,0.0,0.88,1.65,1.71,4.9,5.37,1.83,29.43,20.65,0.0347,55.8,53.74,0.5094,41.47,40.82,0.5039,28.2,29.02,0.4928,1.89,3.66,0.3404,2.6,3.02,0.4622,24.13,26.78,0.4739,10.85,12.33,0.4682,1.0,2.42,0.2930999999999999,17.7,19.27,0.4786999999999999,0.71,0.55,0.5625,37.15,33.66,0.5246999999999999,0.51,0.94,0.3529,0.0669,0.8740000000000001,0.941,12.74,11.5,11.56,42.71,0.5243,20.23,17.93,18.35,0.5245000000000001,38,1970-08-09,Ottawa,ON,CAN,CAN,73,205,1988.0,STL,1.0,9.0,9.0,Canada,Left,9 - Round 1 - 1988 (STL),CAR,35+ (1-way),35,,5,UFA,2011,3600000,"$3,600,000.00",3000000,3000000,0,0,2009-10,56800000,0.0633802816901408,0,0.033286143,"$1,890,652.00","$-1,709,348.00"
c,ryan getzlaf,-,1430.3333333333,66,21.671717171717,0.8,2.1,1.43,0.67,2.89,71.13,6.25,0.1275,0.65,11.91,9.1,6.67,1.93,0.21,0.59,3.31,1.47,1.34,0.13,0.0,0.8,2.27,1.64,7.47,2.89,2.06,22.36,24.79,0.0199,63.43,47.44,0.5721,49.62,38.76,0.5615,35.87,28.11,0.5607,4.07,2.77,0.5951,3.6,2.55,0.5851,33.98,22.86,0.5978,14.01,10.57,0.57,2.27,1.34,0.6279,26.62,16.39,0.619,1.68,0.89,0.6522,37.93,31.14,0.5490999999999999,0.67,0.85,0.44,0.1134999999999999,0.9015,1.015,12.67,12.96,8.14,35.87,0.6089,22.4,18.04,14.01,0.6152000000000001,24,1985-05-10,Regina,SK,CAN,CAN,76,220,2003.0,ANA,1.0,19.0,19.0,Canada,Right,19 - Round 1 - 2003 (ANA),ANA,Standard (1-way),23,,5,UFA,2013,5325000,"$5,325,000.00",5125000,5125000,0,0,2009-10,56800000,0.09375,0,0.091795884,"$5,214,006.00","$-110,994.00"
c,ryan kesler,-,1609.45,82,19.62743902439,0.93,1.86,1.08,0.78,2.8,76.53,7.98,0.1168,0.94,14.43,11.71,8.5,4.14,0.26,1.12,3.8,1.38,1.16,0.15,0.07,2.31,1.04,3.09,3.54,5.22,2.72,28.78,23.45,0.0204999999999999,63.67,51.86,0.5511,48.54,40.67,0.5440999999999999,34.3,29.79,0.5352,3.65,3.06,0.5444,3.28,2.77,0.5424,29.04,25.09,0.5365,12.27,11.44,0.5173,1.83,1.75,0.5104,22.37,18.19,0.5515,0.99,1.09,0.4761999999999999,43.03,33.06,0.5655,1.29,0.65,0.6667000000000001,0.1065,0.8974,1.004,11.71,12.3,14.43,38.58,0.4478999999999999,18.86,18.12,24.38,0.4362,24,1984-08-31,Livonia,MI,USA,USA,74,206,2003.0,VAN,1.0,23.0,23.0,United States,Right,23 - Round 1 - 2003 (VAN),VAN,Standard (1-way),22,,3,RFA,2010,1750000,"$1,750,000.00",1750000,1750000,0,0,2009-10,56800000,0.0308098591549295,0,0.038994666,"$2,214,897.00","$464,897.00"
c,ryan o'reilly,nsh,1358.0666666667,81,16.766255144033,0.35,0.8,0.44,0.35,1.15,61.9,5.96,0.0593,0.42,9.32,7.29,3.98,1.5,0.53,0.44,0.8,0.4,0.4,0.0,0.0,0.66,1.37,3.05,1.63,2.56,2.34,21.43,23.37,0.0210999999999999,39.01,64.9,0.3754,30.84,48.25,0.3899,23.33,35.57,0.3961,1.86,3.31,0.359,1.81,3.09,0.3692,17.5,28.72,0.3786,7.6,12.5,0.3779999999999999,1.28,1.9,0.4028,13.2,21.62,0.379,0.53,0.88,0.375,27.31,44.86,0.3784,0.26,1.02,0.2,0.0795,0.9068,0.986,7.29,12.11,15.15,47.49,0.3248,12.11,17.01,24.79,0.3281,18,1991-02-07,Clinton,ON,CAN,CAN,73,207,2009.0,COL,2.0,3.0,33.0,Canada,Left,33 - Round 2 - 2009 (COL),COL,Entry-Level,18,,3,RFA,2012,880000,"$900,000.00",840000,750000,90000,60000,2009-10,56800000,0.0154929577464788,0,0.019895725,"$1,130,077.00","$230,077.00"
c,sam gagner,edm,1107.6,68,16.288235294118,0.81,1.41,0.7,0.7,2.22,69.49,9.21,0.0882,0.9,15.22,12.62,7.26,3.41,0.43,0.65,1.79,0.81,0.76,0.05,0.0,1.19,2.11,0.76,1.63,4.23,0.87,18.2,20.21,0.0256999999999999,62.13,50.7,0.5506,46.97,37.32,0.5572,33.37,25.51,0.5667,3.2,2.49,0.5619,3.14,2.44,0.5628,27.74,24.11,0.535,11.92,9.91,0.5459,1.73,1.19,0.5926,21.09,18.92,0.5271,1.01,1.16,0.4667,42.25,31.14,0.5757,0.94,0.47,0.6667000000000001,0.0958,0.9023,0.998,11.92,12.78,7.37,41.55,0.618,21.02,19.07,14.08,0.5988,19,1989-08-10,London,ON,CAN,CAN,71,201,2007.0,EDM,1.0,6.0,6.0,Canada,Right,6 - Round 1 - 2007 (EDM),EDM,Entry-Level,18,,3,RFA,2010,875000,"$1,625,000.00",875000,875000,0,750000,2009-10,56800000,0.0154049295774647,0,0.031873308,"$1,810,403.00","$185,403.00"
c,samuel pahlsson,-,1286.2166666667,79,16.281223628692,0.14,0.61,0.28,0.33,0.75,55.17,4.34,0.0323,0.37,7.46,5.97,4.06,1.49,0.23,0.33,1.49,0.75,0.75,0.0,0.0,0.61,0.61,1.31,7.04,1.68,1.63,31.39,27.99,0.0247,36.95,59.24,0.3840999999999999,28.88,45.3,0.3893,21.74,32.89,0.3979999999999999,1.35,2.8,0.3258,1.56,2.94,0.3467,15.67,26.96,0.3676,6.34,11.01,0.3656,0.79,1.35,0.3696,12.44,21.27,0.369,0.31,0.93,0.25,25.4,40.16,0.3875,0.4,1.01,0.2857,0.0622,0.9149,0.977,6.62,15.35,21.55,44.92,0.2351,10.68,20.57,32.28,0.2486,31,1977-12-17,Ange,SWE,SWE,,72,202,1996.0,COL,7.0,14.0,,Sweden,Left,176 - Round 7 - 1996 (COL),CBJ,Standard (1-way),31,,3,UFA,2012,2650000,"$2,650,000.00",2650000,2650000,0,0,2009-10,56800000,0.0466549295774647,0,0.02055633,"$1,167,599.00","$-1,482,401.00"
c,scott gomez,-,1554.95,78,19.935256410256,0.46,1.81,1.16,0.66,2.28,75.64,6.95,0.0667,0.67,11.46,8.91,5.25,2.32,0.39,1.08,2.32,1.0,0.96,0.0,0.04,1.08,2.32,2.01,1.16,1.97,1.31,26.93,26.12,0.0196,62.47,57.57,0.5204,46.34,42.79,0.5199,34.07,31.06,0.5231,3.01,2.51,0.5455,3.32,2.85,0.5379,28.44,26.97,0.5132,12.42,11.96,0.5095000000000001,1.66,1.47,0.5309,21.35,20.01,0.5162,1.03,0.67,0.6061,40.24,37.45,0.5179,0.78,0.67,0.5385,0.0883,0.9193,1.008,9.76,12.5,8.37,46.34,0.5383,20.14,20.64,15.09,0.5717,29,1979-12-23,Anchorage,AK,USA,USA,71,200,1998.0,N.J,1.0,27.0,27.0,United States,Left,27 - Round 1 - 1998 (NJD),NYR,Standard (1-way),27,,7,UFA,2014,7357143,"$7,357,143.00",8000000,8000000,0,0,2009-10,56800000,0.1295271654929577,0,0.108954266,"$6,188,602.00","$-1,168,541.00"
c,shawn horcoff,-,1496.0333333333,77,19.429004329004,0.52,0.92,0.44,0.48,1.44,66.67,4.93,0.1057,0.56,9.22,6.98,5.21,2.25,0.32,0.68,2.05,0.96,0.92,0.04,0.0,0.84,1.44,2.01,1.4,1.84,2.49,24.91,28.72,0.0186,51.06,62.12,0.4511,37.42,47.24,0.442,26.83,31.68,0.4585,2.17,3.57,0.3776,2.39,3.24,0.4247999999999999,22.02,28.31,0.4375,8.5,11.91,0.4165,1.32,1.93,0.4074,18.02,21.87,0.4517,0.48,1.02,0.3214,35.69,40.84,0.4663,0.64,1.27,0.3333,0.0807,0.8873000000000001,0.968,11.27,13.96,15.2,36.5,0.4257999999999999,18.69,19.89,25.39,0.424,30,1978-09-17,Trail,BC,CAN,CAN,73,210,1998.0,EDM,4.0,13.0,99.0,Canada,Left,99 - Round 4 - 1998 (EDM),EDM,Standard (1-way),30,NMC,6,UFA,2015,5500000,"$5,500,000.00",7000000,7000000,0,0,2009-10,56800000,0.0968309859154929,0,0.075814456,"$4,306,261.00","$-1,193,739.00"
c,sidney crosby,pit,1778.3166666667,81,21.954526748971,1.72,1.96,1.21,0.74,3.68,78.99,10.05,0.1711,1.03,16.8,13.53,10.29,4.32,0.74,0.94,2.4,1.15,1.11,0.03,0.0,1.18,2.6,1.45,2.13,3.24,1.45,33.77,26.62,0.0189,73.89,46.36,0.6145,56.68,34.52,0.6214999999999999,40.25,23.58,0.6305,4.66,2.67,0.6359,3.96,2.31,0.6313,36.14,22.37,0.6175999999999999,13.97,8.6,0.6188,2.4,1.48,0.6174000000000001,29.56,18.35,0.6169,1.66,0.58,0.74,49.22,28.61,0.6324000000000001,1.36,0.83,0.6222,0.1157,0.887,1.003,14.04,12.21,8.4,29.18,0.6256,28.31,19.57,14.98,0.6539,21,1987-08-07,Cole Harbour,NS,CAN,CAN,71,200,2005.0,PIT,1.0,1.0,1.0,Canada,Left,1 - Round 1 - 2005 (PIT),PIT,Standard (1-way),19,,5,UFA,2013,8700000,"$8,700,000.00",9000000,9000000,0,0,2009-10,56800000,0.153169014084507,0,0.091929145,"$5,221,575.00","$-3,478,425.00"
c,stephane yelle,-,662.45,70,9.4635714285714,0.36,0.36,0.09,0.27,0.72,47.06,3.53,0.1026,0.33,6.34,4.98,3.26,1.81,0.36,0.18,2.9,1.45,1.45,0.0,0.0,0.72,0.54,1.45,8.15,6.43,4.26,16.39,18.02,0.0431,38.86,65.12,0.3737,29.26,48.09,0.3782,21.1,33.51,0.3864,1.54,3.99,0.2787,1.8,3.18,0.3608,15.67,31.7,0.3308,7.43,14.4,0.3402,1.0,2.35,0.2973,10.99,23.07,0.3227,0.6,1.33,0.3125,25.51,41.34,0.3815999999999999,0.13,0.92,0.125,0.073,0.8811,0.954,6.88,12.86,21.1,53.62,0.246,11.23,18.66,29.26,0.2774,35,1974-05-09,Ottawa,ON,CAN,CAN,74,182,1992.0,N.J,8.0,18.0,186.0,Canada,Left,186 - Round 8 - 1992 (NJD),CAR,35+ (1-way),35,,1,UFA,2010,550000,"$550,000.00",550000,550000,0,0,2009-10,56800000,0.0096830985915492,0,0.020425087,"$1,160,144.00","$610,144.00"
c,stephen weiss,-,1599.5,80,19.99375,1.05,1.2,0.68,0.53,2.25,69.77,6.75,0.1556,0.74,11.97,9.49,6.94,3.26,0.45,0.64,1.5,0.75,0.75,0.0,0.0,0.64,1.01,2.36,1.61,3.19,2.21,30.5,27.68,0.0197,60.24,55.14,0.5221,44.34,41.79,0.5147999999999999,31.85,31.47,0.503,3.23,2.85,0.5309,2.76,2.87,0.4903,26.67,26.9,0.4979,10.69,11.52,0.4814,2.06,1.61,0.5611999999999999,21.31,20.51,0.5096,0.95,1.15,0.4524,41.94,34.57,0.5482,0.54,0.38,0.5882000000000001,0.1013,0.9094,1.011,14.25,13.73,9.12,39.99,0.61,24.5,20.59,18.04,0.5758,26,1983-04-03,Toronto,ON,CAN,CAN,71,190,2001.0,FLA,1.0,4.0,4.0,Canada,Left,4 - Round 1 - 2001 (FLA),FLA,Standard (1-way),24,NMC,6,UFA,2013,3100000,"$3,100,000.00",3000000,3000000,0,0,2009-10,56800000,0.0545774647887323,0,0.041563824,"$2,360,825.00","$-739,175.00"
c,steve ott,-,1202.3,73,16.469863013699,1.1,0.7,0.45,0.25,1.8,66.67,7.29,0.1507,0.83,11.88,9.73,7.79,3.84,0.45,0.8,7.64,2.79,2.2,0.55,0.05,1.9,1.5,1.25,12.53,4.84,0.95,9.98,7.59,0.0283999999999999,56.94,58.69,0.4924,43.27,44.81,0.4911999999999999,31.34,31.24,0.5008,2.69,3.24,0.4538,2.69,2.71,0.4982999999999999,26.65,27.3,0.494,11.13,11.18,0.4989,1.7,1.95,0.4658,20.69,21.49,0.4905,0.67,1.0,0.4,36.91,37.41,0.4966,0.65,0.65,0.5,0.086,0.8962,0.982,12.53,14.02,10.43,44.27,0.5457,18.41,19.26,16.52,0.5271,26,1982-08-19,Summerside,PE,CAN,CAN,72,193,2000.0,DAL,1.0,25.0,25.0,Canada,Left,25 - Round 1 - 2000 (DAL),DAL,Standard (1-way),25,,2,UFA,2010,1425000,"$1,425,000.00",1500000,1500000,0,0,2009-10,56800000,0.025088028169014,0,0.027127473,"$1,540,840.00","$115,840.00"
